20080306,000201477N,N,STOP,R1-1,,RIGHT,38.0889812868,-78.4644010831,{b8c6203e-ec14-4426-85b7-020037c1fae7},1145,1209
20101017,002002745E,E,STOP,R1-1,,RIGHT,37.4433825258,-77.5991006798,{65e89a75-bed9-4161-2399-04002642aa5d},3259,3259
20100525,002902711N,N,STOP,R1-1,,RIGHT,38.9118151698,-77.2035234241,{c5c319b3-2177-481f-d49c-0700cdbf105d},7592,7603
20090407,002910198E,E,STOP,R1-1,,RIGHT,38.8482643264,-77.3921450641,{3b8ba0b1-7b86-4566-4fb1-0800316a7b93},5700,5660
20100725,007601031N,N,STOP,R1-1,,RIGHT,38.6184898279,-77.3484138207,{428b84e5-6e2f-45ea-f1be-090045f20cd2},10283,10283
20091122,002004040N,N,STOP,R1-1,,RIGHT,37.456227804,-77.5195890586,{c69367ce-b40d-4fd2-6681-0a00e5f9f0e1},2331,2312
20081206,000900689E,E,STOP,R1-1,,RIGHT,37.3588195223,-79.6707971842,{d20545c5-b90a-44f5-17be-0d00052969f5},890,809
20080314,008901111N,N,STOP,R1-1,,RIGHT,38.3074445829,-77.4487971657,{ca92c9e0-738a-4101-3db6-10005d0165f0},3036,3052
20101024,002003047E,E,STOP,R1-1,,RIGHT,37.4831058593,-77.5899896406,{67c4dc44-9a0d-4051-3f9a-10005b5adf75},3351,3351
20110916,008201175N,N,STOP,R1-1,,RIGHT,38.4518203979,-78.9168904848,{b06b0205-55fa-4295-d0bf-1600acd89b9a},2348,2348
20100917,007101063E,E,STOP,R1-1,,RIGHT,36.6643590448,-79.4044947309,{a7f2c098-8919-47e7-818b-1e00f4c7ed3d},1901,1890
20090710,00IS00066E,E,STOP,R1-1,,RIGHT,38.849454164,-77.790529256,{85b81a68-480b-4439-7685-1f000cb25e7f},21409,21389
20090410,002908961E,E,STOP,R1-1,,RIGHT,38.8929966845,-77.3870460153,{172b9ea7-236a-4f24-4d86-2100b2f3f1cf},5589,5549
20110930,000701104N,N,STOP,R1-1,,RIGHT,38.079868664,-79.3809339083,{b73bdfa3-7eea-4c3d-8f93-2a00e2e798ba},662,651
20101018,002004134N,N,STOP,R1-1,,RIGHT,37.4302668058,-77.5925723038,{d75d6e59-3b86-4d72-98bf-30003a8a9034},3714,3714
20101030,005400662E,E,STOP,R1-1,,RIGHT,38.0029081991,-78.0141074243,{900c29dc-9326-41ac-61ba-3400e330f6f2},1840,1829
20110827,007000676N,N,STOP,R1-1,,RIGHT,36.6073536808,-80.6046028548,{dc8607af-34c8-4c5c-bdaf-3700bc4c2571},536,536
20100727,007601877E,E,STOP,R1-1,,RIGHT,38.6333042053,-77.3320936667,{50f4c467-aba9-4fb0-cabe-3a006e1d990c},10520,10520
20090514,001100633E,E,STOP,R1-1,,RIGHT,37.7727284309,-79.7827075883,{fdc41e3c-1399-4a01-9686-3a0093bb92c8},3373,3304
20080416,002004933E,E,STOP,R1-1,,RIGHT,37.3218841479,-77.4445043289,{f75326fa-c228-48ff-0fb5-3b00e4577e06},2061,2040
20081108,003400706E,E,STOP,R1-1,,RIGHT,39.1396986159,-78.1908247822,{d38f024e-a525-4a63-e49a-3c00a9f413d0},1102,1058
20101005,008901075E,E,STOP,R1-1,,RIGHT,38.3240469638,-77.4773247954,{4e97fd15-833b-46d7-2683-3f00bae6a036},5308,5319
20090407,002900879N,N,STOP,R1-1,,RIGHT,38.8477374749,-77.3610315726,{d5e5ba7c-e992-4c3e-13a7-4300472ac476},1006,1016
20100502,002902355N,N,STOP,R1-1,,RIGHT,38.8535860895,-77.1952087926,{3f248769-2a5a-4b5c-34bb-4300f7a85a0c},2806,2807
20090410,002906651N,N,STOP,R1-1,,RIGHT,38.9181073245,-77.4138427611,{088cf099-b73f-4465-64a0-44008b4d2a30},3376,3354
20100129,006500617E,E,STOP,R1-1,,RIGHT,37.4650145841,-75.8970740991,{b4103f9c-efe8-4046-3d9d-4400d6c9227c},522,470
20080329,002903302N,N,STOP,R1-1,,RIGHT,38.7178305633,-77.2006600606,{a59a1024-439e-4e19-0184-4500539f5f30},6579,6583
20100925,004700757N,N,STOP,R1-1,,RIGHT,37.2660659999,-76.6705908589,{4857f42c-f1c1-4a2a-e5b2-46005a408ca8},1316,1327
