PX,Main,Mid Block,Side 1,Side 2,Private Access,Additional Info,Geo ID,Node ID,X,Y,Latitude,Longitude,Activation Date,Signal System,Non system,Mode of Control,Pedestrian Walk speed,APS,Transit Preempt,Fire preempt,Rail preempt,No. of Signalized Approaches
1038,STEELES AVE E,,DON MILLS RD,,,,436136,13442528,315985.19,4852145,43.8112,-79.36077,1974-02-19 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1044,DON MILLS RD,,MALLARD RD,,,,441373,13450514,317158.51,4845151.29,43.74823,-79.34634,1974-01-18 00:00:00.0,SCOOT,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1047,DUFFERIN ST,,BOWIE AVE,WHITMORE AVE,,,9655858,13458615,308722.44,4839553.25,43.69794,-79.45113,1974-04-06 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1050,LESLIE ST,,CLANSMAN BLVD,CASTLEBURY CRES,,,436598,13443979,315284.244,4850511.558,43.79652,-79.36951,1973-06-09 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1052,PHARMACY AVE,,HUNTINGWOOD DR,,,,107072,13445713,319259.546,4848872.994,43.78168,-79.32015,1974-08-22 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1060,BIRCHMOUNT RD,,BAY MILLS BLVD,BONIS AVE,,,106992,13445461,320934.617,4849089.998,43.783579,-79.299347,1974-08-11 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1067,DON MILLS RD,,SENECA HILL DR,,,,10906429,13444705,316521.68,4849822.85,43.79027,-79.35417,1974-11-18 00:00:00.0,SCOOT,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1076,JANE ST,,HANEY AVE,,,,9486977,13463074,305207.74,4836893.99,43.674,-79.49473,1974-08-11 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
1079,YORK MILLS RD,,BANBURY RD,CHIPSTEAD RD,,,441109,13450081,315216.839,4845508.169,43.751477,-79.370436,1973-02-11 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1082,ELLESMERE RD,,ORTON PARK RD,MILITARY TRL,,,107198,13445757,327552.67,4848682.35,43.77981,-79.21714,1974-04-29 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1084,KENNEDY RD,,MUNHAM GT,PRIVATE ACCESS,,,11714723,13448718,322605.4387,4846401.0004,43.75938,-79.27864,1974-11-11 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1087,ST CLAIR AVE W,,LAUGHTON AVE,,,,8704908,13462870,308199.22,4836976.21,43.67476,-79.45767,1974-09-12 00:00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
1098,MIDLAND AVE,,MARCOS BLVD,ROMULUS DR,,,110315,13450601,323865.438,4844962.999,43.7464,-79.26306,1975-06-06 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1100,YONGE ST,,ELMHURST AVE,GREENFIELD AVE,,,439674,13448470,311919.84,4846815.45,43.76328,-79.41135,1975-07-17 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1109,BRIMLEY RD,,SHEPPARD AVE E,,,,4840625,13444901,323431.3581,4849539.0987,43.7876,-79.2683,1974-12-18 00:00:00.0,TransSuite,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
1116,KINGSTON RD,,RIDGEMOOR AVE,SHARPE ST,,,6597873,13456826,324828.157,4840517.953,43.70635,-79.25127,1975-07-23 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1131,VICTORIA PARK AVE,,DAWES RD,,,,3829272,13456890,321307.216,4840526.429,43.70653,-79.29497,1974-12-23 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1135,ROYAL YORK RD,,RENAULT CRES,SUMMITCREST DR,,,909151,13461037,302513.22941,4838214.0468,43.68588,-79.52815,1975-09-29 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1136,WILLOWDALE AVE,,EMPRESS AVE,,,,438649,13447240,312606.4264,4847729.7366,43.77149,-79.40281,1974-09-13 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1139,ROYAL YORK RD,,TREHORNE DR,,,,9345161,13460207,302351.4296,4838717.4128,43.69044,-79.53014,1974-04-26 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1142,STEELES AVE E,,VICTORIA PARK AVE,,,,436101,13442179,317549.75,4852644,43.81572,-79.34135,1975-08-13 00:00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
1147,BAYVIEW AVE,,BAYVIEW MEWS LANE,,,,438867,13447529,313747.89,4847497.35,43.7694,-79.38867,1975-11-21 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1153,COLLEGE ST,,BROCK AVE,,,,1145237,13466559,309917.98,4834432.16,43.65185,-79.4364,1975-11-21 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1166,LAWRENCE AVE E,,COLLINSGROVE RD,LING RD,,,108089,13447093,330318.557,4847517.016,43.7691538,-79.182842,1981-04-06 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1170,BRIMLEY RD,,HUNTINGWOOD DR,,,,105242,13443575,323021.421,4850740.996,43.7984054,-79.2733852,1976-04-14 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1184,MORNINGSIDE AVE,,CORONATION DR,,,,108846,13448171,330259.301,4846710.035,43.7619063,-79.1836153,1978-10-13 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1185,STEELES AVE E,,TOWNSEND RD,STEELES AV E 404 S RAMP,,,436108,13442457,316244.21,4852226.96,43.81193,-79.35762,1978-05-31 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1186,FINCH AVE E,,BRIDLETOWNE CRCL,,,WEST INTERSECTION,4435018,13443970,319324.75,4850448,43.796,-79.31933,1976-06-16 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1188,KINGSTON RD,,MANSE RD,,,,107520,13446300,330707.74,4848150.02,43.77492,-79.17796,1978-02-28 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1190,STEELES AVE E,,PHARMACY AVE,ESNA PARK DR,,,103689,13442123,317939.88,4852779,43.81687,-79.33654,1978-09-19 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1201,KINGSTON RD,,PORT UNION RD,SHEPPARD AVE E,,,4417422,13443303,333252.13,4850834.1,43.79897,-79.14627,1968-07-06 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1205,FINCH AVE E,,KENNETH AVE,,,,437812,13446040,311842.32,4848727.754,43.78048,-79.41231,1978-04-10 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1215,KEELE ST,,ST REGIS CRES,PRIVATE ACCESS,TOWNHOUSE COMPLEX,,9278908,13449857,305689.29,4845839.65,43.75449,-79.48875,1976-09-16 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1220,SHEPPARD AVE E,,MEADOWVALE RD,,,,13975216,13442521,331269.5,4851876,43.80841,-79.17082,1974-02-08 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1249,SHEPPARD AVE E,,SETTLERS RD,,,,438288,13446629,318735.1777,4848093.205,43.7747,-79.32669,1979-05-29 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1264,STEELES AVE E,,SILVER STAR BLVD,OLD KENNEDY RD,,,14171574,14171575,320864.956957,4853725.27096,43.82536,-79.30007,1975-06-30 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1280,CONSUMERS RD,90m SOUTH OF,YORKLAND BLVD,PRIVATE ACCESS,PARKWAY PL/IBM,,438653,0,318390.719,4847631,43.77051,-79.3309,1980-05-21 00:00:00.0,MTSS,,SAP,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,3
1295,PHARMACY AVE,,ASHTONBEE RD,,,,11048268,13453497,321008.356,4842972.057,43.7285507,-79.2985955,1978-07-28 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1304,DAVENPORT RD,,SYMINGTON AVE,,,,2216140,13463516,308553.54,4836531.65,43.67074,-79.45323,1979-06-07 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1306,DUNDAS ST W,,ROYALAVON CRES,MICHAEL POWER PL,,,14204002,13467775,302205.004,4833699.323,43.64524,-79.53197,1977-08-11 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1309,EGLINTON AVE W,,EDEN VALLEY DR,RUSSELL RD,,,8417204,13461913,302137.43067,4837683.394,43.68111,-79.53289,1978-12-09 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1322,KIPLING AVE,,NEW TORONTO ST,PRIVATE ACCESS,,,914446,13470354,303221.292,4829115.555,43.60398,-79.51933,1976-10-15 00:00:00.0,Awaiting TransSuite Control,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1325,LAKE SHORE BLVD W,,ISLINGTON AVE,SEVENTH ST,,,914447,13470452,304358.26,4828758.78,43.60083,-79.50525,1979-07-12 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1330,QUEEN ST W,,DUNN AVE,,,,10775253,13468148,310067.37,4833233.84,43.64107,-79.43451,1978-02-14 00:00:00.0,MTSS,,SAP,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,1,,,3
1331,QUEEN ST W,,GLADSTONE AVE,SUDBURY ST,,,7553262,13467944,310660.814,4833399.216,43.64252,-79.42717,1959-11-08 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1333,SHEPPARD AVE E,,ARAGON AVE,BAY MILLS BLVD,,,107225,13445956,320529.69,4848641,43.7796,-79.30439,1981-04-23 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1336,ST CLAIR AVE W,,WELLS HILL AVE,,,,1140020,13461167,311566.107505,4837969.54098,43.6837,-79.41572,1978-01-19 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1353,DON MILLS RD,,MOATFIELD DR,,,,440386,13448975,317091.84,4846307.36,43.75866,-79.3471,1980-11-27 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1370,ROYAL YORK RD,45m NORTH OF,STRATH HUMBER CRT,PRIVATE ACCESS,HUMBERTOWN PLAZA,,910416,0,303349.631,4835538.337,43.66182,-79.51777,1977-09-27 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1373,KINGSTON RD,,POPLAR RD,PRIVATE ACCESS,,,108468,13447596,329656.6859,4847159.9998,43.76602,-79.1911,1984-07-25 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1378,EGLINTON AVE E,,DUNFIELD AVE,PRIVATE ACCESS,,,1138300,13456978,313206.66,4840603,43.70738,-79.39548,1981-01-29 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1379,BAYVIEW AVE,,POTTERY RD,,,,1786,13460241,315781.77,4838450.17,43.68798,-79.36359,1977-11-05 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1402,BLOOR ST W,,ABERFOYLE CRES,GARDENVALE RD,,,6772022,13467706,303252.99196,4833747.63755,43.64571,-79.51902,1981-11-24 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1404,ST CLAIR AVE W,,GUNNS RD,OLD STOCK YARDS RD,HOME DEPOT ENTRANCE,,13323732,13463362,307112.63,4836648.99,43.6717778,-79.4711048,1981-11-25 00:00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1407,WILLIAM R ALLEN RD,,SHEPPARD AVE W,,,,10561029,13450458,307732.68,4845366.84,43.75028,-79.46338,1981-07-12 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,1,,4
1414,STEELES AVE W,,BLACK HAWKWAY,NEW WESTMINSTER DR,,,437104,13444956,308193.9127,4849766.0352,43.78988,-79.45762,1982-01-20 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1415,YONGE ST,130m SOUTH OF,EGLINTON AVE W,,,EGLINTON BUS EXIT,14230407,0,312995.785,4840405.501,43.70542,-79.39809,1982-02-25 00:00:00.0,TransSuite,,PED,1.0 m/s (FDW based on full crossing @1.2m/s),1,0,,,2
1417,FRONT ST W,,JOHN ST,PRIVATE ACCESS,,,10598276,13467695,313762.05,4833564.72,43.64398,-79.38873,1982-03-03 00:00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1428,ANNETTE ST,,CLENDENAN AVE,,,,7992308,13464963,307022.051,4835588.791,43.66225,-79.47222,1982-06-23 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1437,LAWRENCE AVE W,,BOLINGBROKE RD,PRIVATE ACCESS,,,30051990,13455864,308855.956,4841447.888,43.71503,-79.44947,1982-08-10 00:00:00.0,SCOOT,,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
1441,LOWER SHERBOURNE ST,,THE ESPLANADE,,,,1145616,13466844,315488.93,4834131.35,43.64906,-79.36728,1982-07-12 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1462,WYNFORD DR,,EGLINTON E ST DENNIS RAMP,PRIVATE ACCESS,,,3259848,13454290,318907.254,4842431.276,43.723682,-79.324728,1983-04-08 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,0,0,0,4
1463,WYNFORD DR,,EGLINTON W WYNFORD DR RAMP,PRIVATE ACCESS,,,444150,13454092,318804.452,4842600.047,43.72521,-79.326,1983-04-08 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,0,0,0,4
1479,BLOOR ST W,,DURIE ST,,,WEST INTERSECTION,9392345,13466857,306471.409887,4834284.83935,43.65054,-79.47906,1984-03-27 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1482,QUEENS PARK CRES W,,HOSKIN AVE,,,,8128862,13464381,313344.38,4835879,43.66506,-79.39397,1985-04-29 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,2
1498,COXWELL AVE,,GLEBEHOLME BLVD,,,,1139547,13460535,318920.25,4838219.96,43.68582,-79.32462,1985-02-12 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1499,MEADOWVALE RD,,DEAN PARK RD,GENERATION BLVD,,,104540,13442843,331434.038,4851415.495,43.80425,-79.16877,1985-12-13 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1508,DAVENPORT RD,,OSLER ST,,,,8740317,0,308038.859,4836499.882,43.67044,-79.45962,1986-06-19 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1517,SHEPPARD AVE E,,BUCHAN CRT,PRIVATE ACCESS,,,438522,13446985,316162.24,4847855.67,43.77259,-79.35865,1986-09-25 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1523,SHEPPARD AVE W,,KODIAK CRES,YUKON LANE,,,12333658,13450205,307424.174,4845552.592,43.75196,-79.46724,1986-12-10 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1528,OAKWOOD AVE,,JESMOND AVE,,,,8203,13460145,309657.383,4838625.771,43.68954,-79.439544,1987-01-28 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1541,LAKE SHORE BLVD E,,YONGE ST,HARBOUR ST,,,1146604,13467752,314830.243266,4833493.604246,43.64326,-79.37543,1987-02-11 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1552,KIPLING AVE,,KIDRON VALLEY DR,PRIVATE ACCESS,,,8206226,13449783,297670.01,4846034.646,43.75626,-79.5883,1988-09-07 00:00:00.0,Awaiting TransSuite Control,,SAP,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
1562,EGLINTON AVE E,,CEDAR DR,PRIVATE ACCESS,SHOPPING CENTRE,,8930395,13450859,327692.69,4844705,43.74403,-79.21558,1988-03-11 00:00:00.0,SCOOT,,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
1564,STEELES AVE W,,CARPENTER RD,PRIVATE ACCESS,SHOPPING CENTRE,,437008,13444656,309002.1876,4850007.1899,43.79207,-79.44764,1988-11-24 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1583,STEELES AVE E,,MARKHAM RD,,,,4223571,13441620,324793.298,4854989.021,43.83663,-79.25116,1966-01-01 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1585,VICTORIA PARK AVE,,ARNCLIFFE CRES,PRIVATE ACCESS,PRINCESS PLAZA,,111303,13453008,320443.9961,4843342.0077,43.73188,-79.30559,1989-09-21 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1588,YONGE ST,,QUEENS QUAY,,,,1146674,13467923,314892.5381,4833339.6704,43.64195,-79.37461,1989-05-10 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1591,BLOOR ST W,,MONTGOMERY RD,,,,10756613,13467572,303608.468,4833859.109,43.64673,-79.51454,1989-12-12 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1608,UNIVERSITY AVE,,GERRARD ST W,,,,7792694,13465527,313697.778,4835071.162,43.65752,-79.38952,1990-12-20 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1614,ELLESMERE RD,,MORRISH RD,,,,105962,13444398,331069.061,4849846.014,43.79017,-79.17338,1990-09-19 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1621,BATHURST ST,,TICHESTER RD,,,,8837318,13460862,311295.46,4838165.81,43.68543,-79.41922,1991-01-31 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
1628,KING ST W,,SHAW ST,,,,3121090,13468053,311640.46,4833280.85,43.64145,-79.41501,1994-08-25 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1636,WILSON AVE,,JULIAN RD,,,,444426,13454469,305498.256,4842517.028,43.724634,-79.491089,1992-01-30 00:00:00.0,Awaiting TransSuite Control,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1643,DON MILLS RD,255m NORTH OF,THE DONWAY E,PRIVATE ACCESS,ACCESS TO DON MILLS PLAZA,,20234118,20234111,317454.5,4843620.917,43.7343986637,-79.3426555395,1992-05-25 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1650,BAYVIEW AVE,,ARMISTICE DR,HARGRAVE LANE,,,20235607,20235610,314493.616475,4842424.68932,43.72374,-79.37947,1992-12-14 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1653,ST CLAIR AVE W,,WYCHWOOD AVE,PRIVATE ACCESS,,,1140078,13461471,310965.552,4837805.617,43.68219,-79.42335,1992-05-12 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1658,NEILSON RD,175m NORTH OF,TAPSCOTT RD,PRIVATE ACCESS,ACCESS TO 1315 NEILSON RD,,12834067,0,327335.799,4851809.415,43.80791,-79.21975,1993-12-09 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1669,KINGSTON RD,,SCARBOROUGH RD,,,,1140042,13461408,321950.75,4837643.48,43.68056,-79.28705,1993-12-13 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1681,ST CLAIR AVE E,,PLAXTON DR,,,,8609044,13456734,320689.25,4840654.5,43.70768,-79.30263,1994-09-22 00:00:00.0,Awaiting TransSuite Control,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1688,BLOOR ST W,,GLENDONWYNNE RD,PRIVATE ACCESS,,,10250117,13466674,306874.252,4834407.89,43.65164,-79.47408,1994-10-25 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1699,WILLIAM R ALLEN RD,,DUFFERIN ST,KENNARD AVE,,,440346,13449081,307606.3571,4846391.3118,43.75953,-79.46498,1995-08-11 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1704,BRIMLEY RD,,CHILLERY AVE,,,,110775,13451539,324930.9998,4844295.0066,43.74036,-79.2499,1995-08-10 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1705,PARK HOME AVE,,BEECROFT RD,,,,10011227,13447724,311521.31,4847399.5,43.76854,-79.41629,1995-03-01 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1706,PARK HOME AVE,,SENLAC RD,,,,439284,13448067,310762.9943,4847163.5183,43.76641,-79.4257,1995-03-02 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1712,ST CLAIR AVE W,,GLENHOLME AVE,,,,1140596,13462068,309728.125,4837445.083,43.67895,-79.43867,1995-07-20 00:00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
1736,PROGRESS AVE,310m EAST OF,MARKHAM RD,PRIVATE ACCESS,CENTENNIAL COLLEGE/HOWARD JOHNSON,,13971323,0,326367.69,4849138,43.78391,-79.23182,1996-08-26 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1742,EGLINTON AVE E,,ROSEMOUNT DR,PRIVATE ACCESS,,,111345,13453093,322999.63,4843235,43.73089,-79.27387,1996-11-29 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1746,KING ST E,,SUMACH ST,,,,1144500,13465784,316204.5,4834858.61,43.65561,-79.3584,1996-10-24 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
1756,KENNEDY RD,,COWDRAY CRT,,,,107169,13445796,321937.48,4848750.38,43.78062,-79.28694,1997-03-26 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1766,BAYVIEW AVE,380m SOUTH OF,POST RD,PRIVATE ACCESS,CRESCENT SCHOOL,,443573,0,314348.13,4843458.5,43.73304,-79.38124,1997-08-28 00:00:00.0,SCOOT,,SAV,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1771,ISLINGTON AVE,,CENTRAL PARK RDWY,CORDOVA AVE,,,911446,13467331,302759.86433,4834049.5591,43.6484,-79.52505,1997-09-24 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1772,WILLOWDALE AVE,,BYNG AVE,,,,5200718,13446272,312364.98,4848512.82,43.77855,-79.40581,1997-07-11 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1780,FINCH AVE E,35m EAST OF,WINLOCK PK,,,,9084975,0,313193.75,4849140,43.78417,-79.39552,1997-10-23 00:00:00.0,TransSuite,,PED,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,2
1787,MORNINGSIDE AVE,,OLD FINCH AVE,,,,103417,13441963,327704.19,4853017.37,43.818791,-79.215019,1998-06-10 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
1799,ELLESMERE RD,,DOLLY VARDEN BLVD,,,,6793422,13446304,326117.061,4848231.999,43.77576,-79.23498,1999-10-08 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1802,YONGE ST,85m NORTH OF,SHUTER ST,,,,7762738,0,314442.03048,4834766.7962,43.65482,-79.38028,1998-12-23 00:00:00.0,TransSuite,,PED,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,2
1817,MCNICOLL AVE,,SILVER SPRINGS BLVD,,,,14669361,13442549,320364.3721,4852028.197,43.81006,-79.30633,1999-01-06 00:00:00.0,Awaiting TransSuite Control,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
1818,ROYAL YORK RD,,NEWCASTLE ST,,,,7973940,13469941,304871.19,4830618,43.61751,-79.49893,1999-08-07 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
1820,SHEPPARD AVE E,30m EAST OF,REIDMOUNT AVE,PRIVATE ACCESS,AGINCOURT GO PARKING LOT,,11165069,0,322091.238,4849138.484,43.784,-79.285,2001-03-23 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,0,4
1831,ANNETTE ST,,EVELYN AVE,,,,14015266,13465149,306782.7697,4835464.243,43.66112,-79.4752,2007-03-08 13:20:00.0,Awaiting TransSuite Control,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,0,0,0,4
1835,BLOOR ST W,,FORESTVIEW RD,MAPLEDAWN RD,,,912865,13469193,298859.395,4832318.847,43.6328,-79.5734,1999-07-29 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
