PX,Main,Mid Block,Side 1,Side 2,Private Access,Additional Info,Geo ID,Node ID,X,Y,Latitude,Longitude,Activation Date,Signal System,Non system,Mode of Control,Pedestrian Walk speed,APS,Transit Preempt,Fire preempt,Rail preempt,No. of Signalized Approaches
627,SHEPPARD AVE E,,DON MILLS RD,,,,438319,13446608,317097.61,4848138.88,43.7750865,-79.34703,1964-04-01 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
628,DON MILLS RD,,VAN HORNE AVE,,,,437228,13445096,316613.12,4849497.61,43.7873456,-79.353004,1970-06-18 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
631,SHEPPARD AVE W,,WILSON HEIGHTS BLVD,,,,11335703,13450231,308267.27,4845523.95,43.7516592,-79.456729,1962-02-01 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
638,EGLINTON AVE E,,MASON RD,,,,110559,13451254,326921.001,4844463,43.7417938,-79.225156,1968-12-31 00:00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
640,DUNDAS ST W,,SORAUREN AVE,,,,10759093,13466677,309194.79,4834363.73,43.6511963,-79.445285,1969-04-05 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
644,BAYVIEW AVE,,YORK MILLS RD,,,,11763744,13450611,314114.01,4845129.2,43.7480641,-79.384143,1957-01-01 00:00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",1,,1,,4
648,SHEPPARD AVE E,,BAYVIEW AVE,,,,5266155,13447964,313797.12,4847187.3,43.7666244,-79.388044,1968-09-30 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
649,BAYVIEW AVE,,CITATION DR,EMPRESS AVE,,,438403,13446795,313656.88,4848047.45,43.7743467,-79.389797,1966-01-14 00:00:00.0,SCOOT,,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
651,BAYVIEW AVE,,CUMMER AVE,,,,11485139,13444532,313347.46,4850042.87,43.7923392,-79.393624,1967-03-20 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
655,DAWES RD,,GOWER ST,,,,10365073,13457585,321151.2709,4840054.1787,43.7022923,-79.296947,1957-01-01 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
657,COXWELL AVE,,SAMMON AVE,,,,6208975,13459980,318822.86,4838551.83,43.68882,-79.325838,1960-03-21 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
660,WOODBINE AVE,,LUMSDEN AVE,MORTIMER AVE,,,4257371,13459236,319628.25,4839000.61,43.6927726,-79.315855,1958-01-31 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
661,COXWELL AVE,,MORTIMER AVE,,,,1600,13459689,318764.73,4838752.35,43.6905966,-79.326553,1958-01-31 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
669,PAPE AVE,,COSBURN AVE,,,,1712,13459931,316972.04,4838620.58,43.6893922,-79.34881,1958-01-31 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
672,BATHURST ST,,SHEPPARD AVE W,,,,440599,13449607,309738.22,4845946.5,43.7554527,-79.438452,1958-01-31 00:00:00.0,TransSuite,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
673,BATHURST ST,335m SOUTH OF,ELLERSLIE AVE,PRIVATE ACCESS,Y.M.H.A. ENTRANCE,,30007983,0,309598.067,4846728.833,43.7624442,-79.440171,1961-07-27 00:00:00.0,Awaiting TransSuite Control,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
675,BATHURST ST,,FINCH AVE W,,,,11129605,13446970,309372.28,4847990.5,43.7738567,-79.442978,1962-03-20 00:00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
676,BATHURST ST,,DREWRY AVE,ANTIBES DR,,,437872,13446031,309224.75,4848788,43.7810687,-79.44481,1966-10-08 00:00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
678,STEELES AVE W,,BATHURST ST,,,,10335347,13444609,309149.81,4850051,43.79245,-79.445714,1966-02-02 00:00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
692,KENNEDY RD,,PROGRESS AVE,GLAMORGAN AVE,,,7204415,13447299,322314.31,4847518.86,43.76943,-79.28226,1969-09-11 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
695,ELLESMERE RD,,BIRCHMOUNT RD,,,,108899,13448199,321582.94,4846851,43.76347,-79.29137,1961-03-15 00:00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,1,,4
696,KENNEDY RD,,ELLESMERE RD,,,,5066262,13447843,322410.31,4847117,43.76587,-79.28109,1960-01-02 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
698,ELLESMERE RD,,BRIMLEY RD,,,,6786837,13447139,323998.81,4847595,43.77013,-79.26128,1968-07-06 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
699,MCCOWAN RD,,ELLESMERE RD,,,,107941,13446827,324789.747,4847827.999,43.7722,-79.25149,1965-12-31 00:00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
700,ELLESMERE RD,,BELLAMY RD N,,,,107813,13446514,325572.9871,4848074.0015,43.77442,-79.24171,1968-08-30 00:00:00.0,TransSuite,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
702,MARKHAM RD,,ELLESMERE RD,,,,6575905,13446212,326377.434,4848310.054,43.77645,-79.23174,1964-10-12 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
703,MARKHAM RD,,BRIMORTON DR,,,,6575905,13446592,326465.114,4847984.038,43.77351,-79.23066,1966-09-09 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
705,ISLINGTON AVE,,NORSEMAN ST,,,,7668086,13468994,303240.318844,4832475.77029,43.63421,-79.5191,1958-01-01 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
708,ISLINGTON AVE,,THE KINGSWAY,,,,910023,13464097,302053.6719,4836271.5639,43.66839,-79.53383,1959-01-01 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
719,ELLESMERE RD,,MORNINGSIDE AVE,,,,106555,13445039,329466.15,4849310.38,43.78535,-79.19337,1968-03-09 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
739,SHEPPARD AVE W,,WILMINGTON AVE,FAYWOOD BLVD,,,441100,13450069,308656.38,4845638.05,43.75271,-79.4519,1961-01-25 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
744,SHEPPARD AVE E,,LESLIE ST,,,,30044056,13447128,315722,4847751.75,43.77169,-79.36416,1968-03-06 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
748,SHEPPARD AVE E,,VICTORIA PARK AVE,,,,10179994,13446551,319031.474,4848158.078,43.77527,-79.32301,1955-11-25 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
751,SHEPPARD AVE E,,BIRCHMOUNT RD,,,,7471766,13445746,321035.196233,4848807.98215,43.78109,-79.2981,1964-09-12 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,1,,4
