DIST,COUNTY,GPS_LAT,GPS_LONG,APPROACH1,APPROACH2,APPROACH3,APPROACH4
11,HARLAN,36.8594587305,-83.3243272464,048 US-421,048 US-421,048 KY-72,048 KY-72
11,HARLAN,36.8299857302,-83.3246132467,048 US-421,048 US-421,048 KY-72, 
11,HARLAN,36.8106297305,-83.312377247,048 US-421,048 US-421,048 KY-1115,048 SKIDMORE DR
11,HARLAN,36.832319231,-83.3248667468,048 US-421,048 US-421,048 KY-72, 
11,HARLAN,36.8270250232,-83.3227714907,048 US-421,048 US-421,048 WOODLAND HILLS MALL,
11,HARLAN,36.836681966,-83.3251033762,048 US-421,048 US-421,048 INDUSTRIAL PARK RD,
11,JACKSON,37.4301367309,-83.9977027472,055 US-421,055 US-421,055 KY-89,055 KY-290
11,KNOX,36.8670947307,-83.8825822469,061 KY-11,061 KY-11,061 ALLISON AVE,061 ALLISON AVE
11,KNOX,36.866669731,-83.8848557474,061 KY-11,061 KY-11,061 KY-2421,061 KY-2421
11,KNOX,36.868022731,-83.8842432477,061 KY-2413,061 KY-2420,061 KY-2420,061 BROADWAY ST
11,KNOX,36.8672847305,-83.8862677476,061 KY-2419,061 KY-2419,061 KY-2420,061 KY-2421
11,KNOX,36.8682957305,-83.8829477471,061 KY-2420,061 KY-2420,061 ALLISON AVE,061 ALLISON AVE
11,KNOX,36.8667377311,-83.8877407475,061 KY-2421,061 KY-2421,061 LIBERTY ST,061 LIBERTY ST
11,KNOX,36.9568212304,-84.075226747,061 KY-312,061 KY-312,061 COMMONWEALTH DR,061 COMMONWEALTH DR
11,KNOX,36.8716145532,-83.8321192159,061 US-25 E,061 US-25 E,061 GOODIN BRANCH RD,061 KNOX CENTRAL HIGH SCHOOL
11,KNOX,36.9457972308,-84.0393787477,061 US-25E,061 US-25E,061 KY-830,061 KY-830
11,KNOX,36.9475252306,-84.0509247473,061 US-25E,061 US-25E,061 KY-2417,061 KY-3041
11,KNOX,36.9615402305,-84.0763652479,061 US-25E,061 US-25E,061 KY-1629,061 KY-1629
11,KNOX,36.8531762311,-83.8634447468,061 US-25E,061 US-25E,061 KNOX CT,061 TREUHAFT BLVD
11,KNOX,36.8562382305,-83.8692837468,061 US-25E,061 US-25E,061 KY-225,061 KY-3439
11,KNOX,36.8773052306,-83.8818717468,061 US-25E,061 US-25E,061 KY-11,061 KY-11
11,KNOX,36.8667307304,-83.8799717472,061 US-25E,061 US-25E,061 KY-11,061 KY-11
11,KNOX,36.9589082308,-84.0722152475,061 US-25E,061 US-25E,061 KY-312,061 WORLD DR
11,KNOX,36.9600039274,-84.0738937597,061 US-25E,061 US-25E,061 KROGER,061 TRI COUNTY SQUARE CNTR
11,KNOX,36.957936231,-84.0707362475,061 US-25E,061 US-25E,061 TRADE MART CNTR,061 KMART
11,KNOX,36.9458880419,-84.0060914887,061 US-25E,061 US-25E,061 KY-233,061 KY-233
11,KNOX,36.868863738,-83.8796154866,068 US-25E,068 US-25E,068 KY-2420,
11,LAUREL,37.145133731,-84.0794177478,063 HR-9006,063 HR-9006,063 WESTINGHOUSE DR,063 N LAUREL HIGH
