MUTCD_CD,SIGNDESCRI,CARDINAL_D,ASSEMBLY_I,MILEPOINT,ROUTE_ID,XCOORD,YCOORD
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404391,5.350800000000000,053-KY-1529  -000,-88.947915,36.611800
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404359,10.595300000000000,053-KY-1529  -000,-88.871936,36.588100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404428,10.607799999999999,053-KY-1529  -000,-88.871687,36.588100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404457,0.006200000000000,053-KY-1540  -000,-89.029403,36.709000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404450,1.676200000000000,053-KY-1540  -000,-89.000571,36.702400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404561,0.007300000000000,053-KY-1686  -000,-88.866633,36.767500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404579,0.007800000000000,053-KY-1698  -000,-88.852865,36.547100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404571,2.115400000000000,053-KY-1698  -000,-88.871594,36.560500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404699,0.006300000000000,053-KY-1708  -000,-88.924876,36.677500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404600,1.841200000000000,053-KY-1708  -000,-88.895714,36.671100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404616,1.856800000000000,053-KY-1708  -000,-88.895447,36.671200
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404607,3.271400000000000,053-KY-1708  -000,-88.870088,36.671400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404731,0.008900000000000,053-KY-1728  -000,-88.993820,36.673300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404728,0.198900000000000,053-KY-1728  -000,-88.997302,36.673400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404729,0.813600000000000,053-KY-1728  -000,-89.000246,36.681800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404748,0.002100000000000,053-KY-1731  -000,-88.992380,36.665300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404732,0.113800000000000,053-KY-1731  -000,-88.992328,36.667000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404746,0.125400000000000,053-KY-1731  -000,-88.992422,36.667100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404736,0.343700000000000,053-KY-1731  -000,-88.992346,36.670300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404742,0.355900000000000,053-KY-1731  -000,-88.992441,36.670500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404858,0.004000000000000,053-KY-1745  -000,-88.993544,36.670400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404849,0.061200000000000,053-KY-1745  -000,-88.992470,36.670300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404857,0.071100000000000,053-KY-1745  -000,-88.992270,36.670400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404855,0.535400000000000,053-KY-1745  -000,-88.987634,36.667700
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404875,3.402100000000000,053-KY-1748  -000,-88.868518,36.767900
R1-1,Marker STOP  (Text) R1-1,BOTH OR CARDINAL,404903,0.071100000000000,053-KY-1755  -000,-89.107402,36.762100
R1-1,Marker STOP  (Text) R1-1,BOTH OR CARDINAL,404901,0.168100000000000,053-KY-1755  -000,-89.107150,36.763300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404910,0.005700000000000,053-KY-1757  -000,-89.106198,36.758500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,404906,0.076000000000000,053-KY-1757  -000,-89.105599,36.759300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404909,0.086100000000000,053-KY-1757  -000,-89.105569,36.759400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,404936,0.008900000000000,053-KY-1772  -000,-89.048380,36.731700
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405012,1.983200000000000,053-KY-1825  -000,-88.989774,36.613700
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405084,0.006900000000000,053-KY-1826  -000,-89.059211,36.663700
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405024,1.007800000000000,053-KY-1826  -000,-89.060069,36.678200
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405075,1.024500000000000,053-KY-1826  -000,-89.060043,36.678400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405034,4.154200000000000,053-KY-1826  -000,-89.010062,36.672100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405062,4.166800000000000,053-KY-1826  -000,-89.009701,36.672100
R1-1,Marker STOP  (Text) R1-1,CARDINAL LEFT,405043,5.144400000000000,053-KY-1826  -000,-88.993681,36.671100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405329,0.004200000000000,053-KY-2206  -000,-88.987043,36.684500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405320,4.064000000000000,053-KY-2206  -000,-88.971886,36.736800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405343,0.005300000000000,053-KY-2208  -000,-88.931564,36.649800
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405338,2.068900000000000,053-KY-2208  -000,-88.918009,36.671500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405336,2.074900000000000,053-KY-2208  -000,-88.918128,36.671600
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405353,0.005400000000000,053-KY-2209  -000,-88.956049,36.620100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405345,1.578300000000000,053-KY-2209  -000,-88.927652,36.619800
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405351,1.589600000000000,053-KY-2209  -000,-88.927498,36.619800
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405348,2.081500000000000,053-KY-2209  -000,-88.927618,36.612600
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405440,1.437400000000000,053-KY-2569  -000,-88.843754,36.529300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405449,0.006400000000000,053-KY-3058  -000,-89.104783,36.758000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405444,0.118000000000000,053-KY-3058  -000,-89.103608,36.759400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405484,0.004100000000000,053-KY-3061  -000,-88.843946,36.629000
R1-1,Marker STOP  (Text) R1-1,CARDINAL LEFT,405457,2.357700000000000,053-KY-3061  -000,-88.835039,36.657400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,405477,2.373500000000000,053-KY-3061  -000,-88.835047,36.657600
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405467,6.904300000000000,053-KY-3061  -000,-88.869374,36.693800
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,405486,0.086500000000000,053-KY-3142  -000,-88.996203,36.673400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,410686,1.238200000000000,054-KY-0070  -000,-87.779769,37.274700
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,298830,1.572000000000000,055-KY-0030  -000,-84.005151,37.277500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,298839,3.189000000000000,055-KY-0030  -000,-83.984091,37.293900
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,298885,4.564000000000000,055-KY-0030  -000,-83.964818,37.307100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,298882,4.564000000000000,055-KY-0030  -000,-83.964818,37.307100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300052,6.752000000000000,055-KY-0030  -000,-83.949900,37.325600
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,298866,6.756000000000000,055-KY-0030  -000,-83.949601,37.325500
